problem_id,Nevergrad-CMA-ES,RandomSearch,SMAC3-BlackBoxFacade
hpob/all/2010/125966,0.0,0.0,0.0
hpob/all/2039/125966,0.12810828222829673,0.05154315959344004,0.016144965369071274
hpob/all/2039/125968,0.27702980691617146,0.0,0.0
hpob/all/2073/125966,0.06712493366342807,0.05616775022440683,0.04822278036905909
hpob/all/2073/125968,0.0,0.0,0.0
hpob/all/2073/125969,0.0,0.0,0.0
hpob/all/2277/125966,0.2468078455346281,0.06158627793414513,0.04863508179973386
hpob/all/2277/125968,0.6072273757125396,0.06894716132826992,0.028750506034885315
hpob/all/2277/125969,0.65334920150885,0.08085791477617041,0.008495381240539515
hpob/all/2566/3647,0.0,0.0,0.0
hpob/all/2614/3954,0.14382198709392757,0.0,0.0
hpob/all/2629/14951,0.0,0.0,0.0
hpob/all/2793/14951,0.018643123441259957,0.0,0.0
hpob/all/2799/14951,0.10567167646691897,0.0,0.0
hpob/all/2823/14951,0.08160065876271388,0.016569886617760914,0.00441303942509321
hpob/all/3414/14951,0.06285293529436307,0.0007091395398277024,0.0
hpob/all/3425/14951,0.030508616702143693,0.0,0.0
hpob/all/3434/14951,0.814593720711611,0.004010779296935911,0.0010940882832841973
hpob/all/3439/14951,0.0,0.0,0.0
hpob/all/3442/14951,0.40396839333956425,0.0,0.0
hpob/all/3489/125966,0.0,0.0,0.0
hpob/all/3489/125968,0.0,0.0,0.0
hpob/all/3489/125969,0.0,0.0,0.0
hpob/all/3490/125966,0.13121404320055824,0.07611606745318926,0.04471561694979832
hpob/all/3490/125968,0.07445979896613829,0.060493223374358675,0.06499415893849085
hpob/all/3490/125969,0.08149864430889857,0.06329751586973753,0.04836865006869275
hpob/all/3502/125966,0.0,0.0,0.0
hpob/all/3502/125969,0.0,0.0,0.0
hpob/all/3737/3736,0.0,0.0,0.0
hpob/all/3894/3577,0.03653013138910532,0.03105061168073952,0.03653013138910532
hpob/all/3894/3647,0.001778101399226886,0.0,0.0
hpob/all/3894/3729,0.0,0.0,0.0
hpob/all/3894/3731,0.5194225504599366,0.13245755271279955,0.10086585454102967
hpob/all/3960/125966,0.10461476484557368,0.002446614301667891,0.004893228603335784
hpob/all/4289/125966,0.03122317796884786,0.0,0.0
hpob/all/4796/10093,0.04208906270345696,0.00039652296474204684,0.0
